default_profile,default_profile_image,favourites_count,followers_count,friends_count,geo_enabled,verified,average_tweets_per_day,account_age_days,account_type
False,False,4,1589,4,False,False,7.87,1403,bot
False,False,536,860,880,False,False,0.183,1379,human
False,False,3307,172,594,True,False,0.864,1159,human
True,False,8433,517,633,True,False,0.889,1489,human
False,False,88,753678,116,True,True,1.339,3138,human
True,False,237,27394,542,False,False,8.428,1366,bot
False,False,5522,291529,1581,True,True,3.581,4059,human
False,False,756,6909959,40,False,True,0.421,2902,human
True,False,64,24,0,False,False,0.099,2802,human
False,False,36384,2130,3363,True,False,20.391,3108,human
False,False,127,32,0,False,False,0.29,3175,human
False,False,0,26675,26,False,False,10.701,2251,bot
False,False,16614,262121,643,True,True,8.624,4220,human
False,False,49058,1950090,1574,False,True,24.355,3360,human
False,False,4071,252142,562,True,True,1.686,3576,human
False,False,81967,5281,581,True,False,36.391,2920,human
True,False,139,0,0,False,False,0.188,1445,human
True,False,41,0,0,False,False,0.073,1444,human
False,False,12686,2365,296,True,False,5.859,3125,human
True,False,510,6,33,False,False,0.197,3242,bot
False,False,534,37278,455,True,True,2.691,3372,human
True,False,187,4,0,False,False,0.008,2741,bot
True,False,38493,7383658,3016,True,True,6.325,3470,human
False,False,4282,9179,1275,True,True,3.395,3271,human
False,False,588,163616,115,False,True,17.301,4507,human
False,False,29136,585,900,True,False,2.598,3388,human
True,False,307,3745,2,False,False,2.362,1004,bot
True,False,9678,137,140,True,False,1.811,3889,human
True,False,171,249184,984,False,False,8.547,3085,human
False,False,7612,5362,355,True,False,2.679,3835,human
True,False,6184,704,598,False,False,2.286,2483,human
False,False,2361,64,156,True,False,0.856,3248,bot
True,False,125,3,0,False,False,0.006,2944,bot
False,False,915,267,246,True,False,0.723,1848,human
False,False,13869,108660,1247,True,True,15.919,4181,human
False,False,2554,387,328,False,False,6.929,4031,human
True,False,50242,276,509,True,False,8.598,3500,human
False,False,16011,157466,1031,True,True,8.066,4193,human
True,False,1332,12,11,False,False,0.911,1462,bot
False,False,618,30999003,1748,True,True,61.619,4215,bot
False,False,722,1300,1137,True,False,19.993,3510,human
False,False,109753,184,436,False,False,1.303,2739,human
False,False,2896,338,743,True,False,3.135,2286,human
False,False,1,93,233,False,False,1.227,3043,human
False,False,2583,108,0,False,False,1.346,4181,bot
False,False,9955,1285743,850,True,True,11.628,3346,human
True,False,2925,1541148,628,True,True,0.774,3385,human
False,False,1325,25,851,False,False,0.444,4069,bot
False,False,5023,101576,286,False,False,2.787,3491,human
False,False,253,317,413,True,False,1.498,2076,bot
False,False,0,164313,5577,False,False,9.645,3809,human
True,False,0,916,0,False,False,1.656,2063,bot
False,False,708,179268,867,True,True,1.615,3795,human
True,False,247,23,267,False,False,0.036,2775,bot
True,False,2404,61,28,True,False,0.862,3813,bot
False,False,3617,1437950,935,True,True,73.106,4117,bot
False,False,5,197,7,False,False,15.255,957,bot
False,False,9557,205,702,True,False,0.774,2477,human
True,False,199,2,0,False,False,0.014,2042,bot
False,False,342,1491,158,True,False,1.006,4311,human
True,False,772,65,114,False,False,1.651,776,human
False,False,42296,7235,3115,True,False,17.134,3597,human
False,False,2492,16,0,False,False,1.035,3303,bot
True,False,564,24,57,True,False,0.245,3026,bot
True,False,1047,13,106,False,False,0.143,1680,human
False,False,2317,18,0,False,False,0.986,3249,bot
False,False,51376,13281,1858,False,False,12.413,4397,human
False,False,1497,21046,3025,True,True,1.538,3001,human
False,False,2152,7,27,False,False,1.042,2949,bot
False,False,71,4476,568,True,False,0.016,3338,bot
False,False,3069,1064,172,True,False,25.586,2872,bot
True,False,21,31,4,False,False,2.19,1620,bot
True,False,1202,13,392,False,False,1.108,1584,bot
False,False,16665,84574,2843,True,True,14.233,5158,human
True,False,2479,47,166,False,False,0.727,4225,bot
True,False,87,1,0,False,False,0.356,1159,bot
True,False,942,21,46,False,False,0.236,1550,bot
True,False,1301,56,25,False,False,1.38,1323,human
False,False,250,68745,0,False,False,1.628,2984,human
False,False,15985,13893,1506,True,True,5.371,4051,human
False,False,4019,110,1112,False,False,0.124,4085,human
False,False,18353,1077,2043,True,False,0.202,3879,human
False,False,1861,356,4412,True,False,1.169,2234,bot
False,False,607,4254877,2668,True,True,9.249,4120,human
False,False,6464,103334,576,False,True,16.905,4148,human
True,False,13883,171,1049,True,False,2.575,4177,human
False,False,8888,680345,183,True,True,2.223,3109,human
True,False,3544,25,45,False,False,2.083,1750,bot
True,False,160,26,131,False,False,0.13,1167,human
False,False,17028,407,186,False,False,5.952,1156,bot
True,False,7338,4201705,885,False,True,4.165,3403,human
True,False,58490,446,807,True,False,13.078,4032,human
True,False,231,113181,297,True,False,2.324,3454,human
False,False,1476,33334,385,False,True,6.501,4397,human
False,False,2,4577055,1,False,True,0.279,3837,human
